CustomerID,Lookalikes
C0001,"[('C0190', 0.9829251296992747), ('C0048', 0.9825320738756457), ('C0181', 0.9414218642749147)]"
C0002,"[('C0088', 0.9664531776806945), ('C0106', 0.9093255706002099), ('C0056', 0.8862288615677204)]"
C0003,"[('C0052', 0.9583743462369245), ('C0152', 0.9364209343840184), ('C0031', 0.9350189446228049)]"
C0004,"[('C0155', 0.9432577549648831), ('C0165', 0.9224504969773536), ('C0169', 0.9169560136106386)]"
C0005,"[('C0186', 0.9902923717547444), ('C0146', 0.9690339958329537), ('C0007', 0.9567989342984807)]"
C0006,"[('C0168', 0.9713964507993725), ('C0187', 0.9399941406106549), ('C0171', 0.9319520331005529)]"
C0007,"[('C0140', 0.9755381073396892), ('C0115', 0.9637605186215306), ('C0005', 0.9567989342984807)]"
C0008,"[('C0065', 0.8807431391474204), ('C0059', 0.8122609733702136), ('C0139', 0.774141148520143)]"
C0009,"[('C0198', 0.9721548432149104), ('C0062', 0.9355678630695724), ('C0010', 0.9103469409245373)]"
C0010,"[('C0111', 0.9558432371917364), ('C0103', 0.9329428559150266), ('C0062', 0.9255358851536509)]"
C0011,"[('C0137', 0.9663889049736817), ('C0126', 0.9304616064055757), ('C0191', 0.9203420657829982)]"
C0012,"[('C0195', 0.9611778950282923), ('C0113', 0.9593938874850726), ('C0104', 0.9542775987931622)]"
C0013,"[('C0099', 0.9826805140514219), ('C0108', 0.9599704350742846), ('C0107', 0.7798502477874272)]"
C0014,"[('C0060', 0.9841722502138066), ('C0097', 0.8760862746024137), ('C0128', 0.8648273601522661)]"
C0015,"[('C0131', 0.9764744035228058), ('C0036', 0.9728634441512933), ('C0094', 0.8346249166360312)]"
C0016,"[('C0183', 0.9936779026585949), ('C0067', 0.9402835586321765), ('C0030', 0.8842946288706355)]"
C0017,"[('C0075', 0.9679892212348696), ('C0041', 0.8894323475719833), ('C0057', 0.8730731856736652)]"
C0018,"[('C0117', 0.8911110381082623), ('C0046', 0.8645812022196339), ('C0122', 0.823833064130077)]"
C0019,"[('C0081', 0.879784661665946), ('C0121', 0.8702535040949992), ('C0119', 0.6891336144870467)]"
C0020,"[('C0050', 0.9059699407879914), ('C0140', 0.8271309047480515), ('C0035', 0.8114375197318565)]"
